ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,DATE,SentimentScore,SentimentCategory
1,795,630,2025-10-16,3,Customer support was very helpful.,2025-10-16,0.6997,Positive
2,439,769,2024-07-18,4,Shipping was fast and the item was well-packaged.,2024-07-18,0.0,Positive
3,181,697,2024-05-05,1,I had a bad experience with this product.,2024-05-05,-0.5423,Highly Negative
4,987,338,2023-01-06,1,Not worth the money.,2023-01-06,-0.1695,Highly Negative
5,972,25,2024-10-04,3,Not worth the money.,2024-10-04,-0.1695,Negative
6,684,670,2025-04-08,4,Five stars for the quick delivery.,2025-04-08,0.0,Positive
7,232,652,2025-02-17,4,"Good quality, but could be cheaper.",2025-02-17,0.2382,Positive
8,730,812,2023-11-06,2,"Excellent product, highly recommend!",2023-11-06,0.7773,Mixed
9,281,292,2023-03-15,1,The quality is top-notch.,2023-03-15,0.0,Negative
10,61,64,2024-05-11,1,Customer support was very helpful.,2024-05-11,0.6997,Mixed
11,997,294,2023-10-01,3,Product did not meet my expectations.,2023-10-01,0.0,Neutral
12,869,228,2023-07-23,3,Five stars for the quick delivery.,2023-07-23,0.0,Neutral
13,747,430,2023-10-26,2,Product did not meet my expectations.,2023-10-26,0.0,Negative
14,476,771,2023-10-24,4,"Average experience, nothing special.",2023-10-24,-0.3089,Mixed
15,540,413,2025-03-15,1,Five stars for the quick delivery.,2025-03-15,0.0,Negative
16,119,991,2023-10-09,4,"I love this product, will buy again!",2023-10-09,0.6696,Highly Positive
17,121,527,2023-10-21,2,Five stars for the quick delivery.,2023-10-21,0.0,Negative
18,981,315,2023-04-13,5,"I love this product, will buy again!",2023-04-13,0.6696,Highly Positive
19,442,575,2025-05-08,5,The quality is top-notch.,2025-05-08,0.0,Positive
20,853,658,2024-08-15,4,Not worth the money.,2024-08-15,-0.1695,Mixed
21,341,555,2024-08-07,1,The quality is top-notch.,2024-08-07,0.0,Negative
22,629,128,2023-09-28,2,"Good quality, but could be cheaper.",2023-09-28,0.2382,Negative
23,376,897,2024-04-25,4,The quality is top-notch.,2024-04-25,0.0,Positive
24,602,54,2023-05-26,1,Amazing value for the price.,2023-05-26,0.7351,Mixed
25,531,313,2024-09-25,2,"I love this product, will buy again!",2024-09-25,0.6696,Mixed
26,294,704,2024-04-22,1,"Good quality, but could be cheaper.",2024-04-22,0.2382,Negative
27,147,316,2025-11-07,2,"Excellent product, highly recommend!",2025-11-07,0.7773,Mixed
28,246,558,2023-12-08,1,Not worth the money.,2023-12-08,-0.1695,Highly Negative
29,708,231,2023-09-03,2,Amazing value for the price.,2023-09-03,0.7351,Mixed
30,591,573,2023-08-17,3,I had a bad experience with this product.,2023-08-17,-0.5423,Negative
31,121,273,2023-04-26,2,Five stars for the quick delivery.,2023-04-26,0.0,Negative
32,919,680,2024-01-07,3,Five stars for the quick delivery.,2024-01-07,0.0,Neutral
33,716,692,2025-09-30,3,Product did not meet my expectations.,2025-09-30,0.0,Neutral
34,298,178,2023-06-20,1,Amazing value for the price.,2023-06-20,0.7351,Mixed
35,134,564,2025-09-14,1,Product did not meet my expectations.,2025-09-14,0.0,Negative
36,763,614,2023-03-01,5,I had a bad experience with this product.,2023-03-01,-0.5423,Mixed
37,517,972,2024-02-23,5,"Average experience, nothing special.",2024-02-23,-0.3089,Mixed
38,321,60,2023-08-29,1,Product did not meet my expectations.,2023-08-29,0.0,Negative
39,115,676,2023-05-07,1,Customer support was very helpful.,2023-05-07,0.6997,Mixed
40,934,791,2023-12-07,4,Product did not meet my expectations.,2023-12-07,0.0,Positive
41,834,297,2025-08-30,1,The quality is top-notch.,2025-08-30,0.0,Negative
42,559,557,2024-03-09,2,"Great purchase, very satisfied.",2024-03-09,0.8016,Mixed
43,861,14,2024-11-10,3,"Great purchase, very satisfied.",2024-11-10,0.8016,Positive
44,566,982,2023-06-03,4,I had a bad experience with this product.,2023-06-03,-0.5423,Mixed
45,968,276,2025-06-12,5,Shipping was fast and the item was well-packaged.,2025-06-12,0.0,Positive
46,877,964,2023-10-27,4,Shipping was fast and the item was well-packaged.,2023-10-27,0.0,Positive
47,698,35,2024-02-20,2,Not worth the money.,2024-02-20,-0.1695,Highly Negative
48,279,767,2023-04-12,4,I had a bad experience with this product.,2023-04-12,-0.5423,Mixed
49,814,976,2025-11-27,2,I had a bad experience with this product.,2025-11-27,-0.5423,Highly Negative
50,287,330,2025-11-11,5,"Average experience, nothing special.",2025-11-11,-0.3089,Mixed
51,756,765,2023-03-10,5,"I love this product, will buy again!",2023-03-10,0.6696,Highly Positive
52,993,102,2023-11-24,3,Customer support was very helpful.,2023-11-24,0.6997,Positive
53,371,902,2024-03-30,2,"Average experience, nothing special.",2024-03-30,-0.3089,Highly Negative
